# account,total,base,early,referral,loyalty,guaranteed
16a4RQe8io4ekEg5wANJEreF7gjmEJkFVrSBznKzUHhiYbt4,46.875,37.5,7.5,1.875,0,0
13b6xQytwZWTtvLAx1x4pAKJJKmPk78nLMJDoaUwbQWfLzQV,31.25,25.0,5.0,1.25,0,0
15hyUzNYHdy2yvq91q2XJf5bdgvZAmyixjgvpPocZwxnmMQm,171.0,142.5,28.5,0,0,0
12DrjUqxQ4fpTJmLuWNs9Tu5Mqz78iiYCFoUCB8mw1qun2ZS,6250.0,5000.0,1000.0,250.0,0,0
158CEGzarL4W6jYuAADsZt5fvRESZ7qXLaeLp5HqWeKtZnEq,109.375,87.5,17.5,4.375,0,0
126XnNuuDSUoBg5WZLcFfLCBZdDWM43RT3Neh9YDn3TgAPNH,15.625,12.5,2.5,0.625,0,0
12mUTHnoDP36L7SuZMSm1wkFGp5orUFChhPjpgYhc8FkDjPw,15.0,12.5,2.5,0,0,0
14ow869NcbRaNRPeRw6ud2PkeKZ48q5mRukvCprgfFNLizZz,31.25,25.0,5.0,1.25,0,0
1UHyxa7mZXZ9yy8zfmx5siCdmtmiDDbeq6vrC39CC3NkCdx,15.0,12.5,2.5,0,0,0
13rDyQVyQePD6EjgoLsSTmJwcLZDYuyKTRjhXJCSnydz1AKQ,22.470000000000002,18.725,3.745,0,0,0
1jnmqU2b3Nizufz8Dbe5b9fas3Z7LY38AUWktQW7GG57yBv,15.75,12.5,2.5,0,0.75,0
14jDLfWJ3SfAB6hCBZQ4Amb7oPsDtnkJwrkASDoXFaZFxTUE,94.5,75.0,15.0,0,4.5,0
156KGDk6UVpSZsBPUr1JLjVuz6Ri34zY1eXSEU3o1xaW9GwU,300.0,250.0,50.0,0,0,0
16hcndUJ2tnXaDZxaQWVWM95oJHKSZY9cMNYLtC39U2xkuCG,62.5,50.0,10.0,2.5,0,0
1dxggsBXXzJaAUKHrndXWC67aNUPdy1rwouN8otooCJqpW5,150.0,125.0,25.0,0,0,0
16FGaMzeGt1ZUNSRuqQR2gxBy5Zg4QEqxJLfLAMCWemTPsPd,38.2665625,30.61325,6.12265,1.5306625,0,0
15UmSoPpjb3TTiSFUrNcKUeyiKCrbfdHwcjdoh5qRBdsENgU,31.25,25.0,5.0,1.25,0,0
1565b3AGjWDCGLoaGVZr2NmXd9s9FUkji3pi8UVeySff39nj,31.25,25.0,5.0,1.25,0,0
126ezpGhsJFwRSSBzR48nprmbut71ERFwLXFpRsWWmkkfws6,45.0,37.5,7.5,0,0,0
14VXp9idfyhS83fdNHPVpUGGdUZJffGDTV5deRLUBhvr8AQa,30.0,25.0,5.0,0,0,0
12sgGAjsPYqQhqaTQCUuiiPsv6k65PiCsi8Qashkw8XuYmCt,15.625,12.5,2.5,0.625,0,0
12KkE5ZSCV3BkeGfEkfAdW9PyTy51WU6iydcqK6K6FEPMtGz,312.5,250.0,50.0,12.5,0,0
12C36wqm6vXS6d7Nttfcsid1KV4wC38xgMp7QRRgdQuofCKU,406.25,325.0,65.0,16.25,0,0
15VSzeE5xBWhsTrYnm9cJ1nPJuAUcuaSfvveaxNKEtCZzBnd,19.6875,15.75,3.15,0.7875,0,0
14AzHxWuj1J8yNm6seYFhTczGkPRBcrbEK28FfDYsXypDNbN,850.0,500.0,100.0,250.0,0,0
16ftfnhp32XgSdUkmQbNjZumNB9aBnWMZY8a8uv9WK87gxRm,125.0,100.0,20.0,5.0,0,0
16fZtftPnjSmnK8wrfSDqbxyCnevqg1h2qPBJsn4xtKy3CE2,150.0,125.0,25.0,0,0,0
136pZrt6ZrobyZoz678ssZekQdusx6mpkS7oGf28xHbHs9HZ,51.0,42.5,8.5,0,0,0
15BWSJg5WamQXZKSYhkcQCaksV7nZ4ZccnRcXsZD1TcsX2Rq,31.25,25.0,5.0,1.25,0,0
16etzhjxbyonn6fEaZzp7m7RfZfmM73MriWXr79PgQxvoDnZ,65.5,50.0,10.0,2.5,3.0,0
133iCroc49BA3gxciAWVstZbprgvY3zQmq3jfN4aaWcbWW4i,150.0,120.0,24.0,6.0,0,0
16DHyhFi9D8rgeL6axhYo6kDqSMofCaXp3m2cHfQGX6sDpP2,21.0,17.5,3.5,0,0,0
16JriM3NFYLsyUfzvA8GLMCYa25GZne5yuCbohcpq4f7UoVZ,156.25,125.0,25.0,6.25,0,0
165YxQnpiMLaVQdi1YrDPbc3D7r75pBATCy2zXY6DG4XVerw,15.625,12.5,2.5,0.625,0,0
1xMKdAnMQHxwwf9NjFpstRB9FoguhJXqtdj8KdxrJqb7mGK,15.625,12.5,2.5,0.625,0,0
1467H83hMyQtme9uE1SMDsbh2HH4MoAjvemtDDSwxukNkFgC,328.125,262.5,52.5,13.125,0,0
